"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","Duration..min.","WalkTime..min.","WalkDistance..m.","Transfers","TransitTime..min.","Weekend","Peak.Hour"
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,35.08,16.58,1072.26,0,18.5,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.15,10.45,651.06,0,19.7,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.4,5.5,337.53,1,22.13,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.92,6.15,378.54,1,21.65,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.9,5.5,337.53,1,22.37,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,31.92,6.15,378.54,1,21.65,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,33.22,13.73,911.98,0,19.48,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.15,10.45,651.06,0,19.7,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.4,5.5,337.53,1,22.13,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.92,6.15,378.54,1,21.65,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.9,5.5,337.53,1,22.37,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,31.92,6.15,378.54,1,21.65,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,33.22,13.73,911.98,0,19.48,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,22.45,13.5,845.11,0,8.95,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,22.45,13.5,845.11,0,8.95,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,22.45,13.5,845.11,0,8.95,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,22.45,13.5,845.11,0,8.95,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,12.62,9.22,617.38,0,3.4,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,18.02,13.4,859.7,0,4.62,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,12.62,9.22,617.38,0,3.4,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,13.08,8.47,546.94,0,4.62,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,12.62,9.22,617.38,0,3.4,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,18.02,13.4,859.7,0,4.62,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,12.62,9.22,617.38,0,3.4,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,13.08,8.47,546.94,0,4.62,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,22.5,10.83,729.72,0,11.67,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,22.5,10.83,729.72,0,11.67,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,22.5,10.83,729.72,0,11.67,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,22.5,10.83,729.72,0,11.67,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.15,7.37,454.14,0,16.78,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,25.65,4.7,308.52,1,17.28,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.35,9.55,626.42,0,16.8,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.15,7.37,454.14,0,16.78,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.35,9.55,626.42,0,16.8,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.65,4.7,308.52,1,17.28,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.15,7.37,454.14,0,16.78,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,25.65,4.7,308.52,1,17.28,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.35,9.55,626.42,0,16.8,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.15,7.37,454.14,0,16.78,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.35,9.55,626.42,0,16.8,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.65,4.7,308.52,1,17.28,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.8,9.2,583.99,2,19.08,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,39.37,8.77,550.63,1,27.47,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,37.95,6.75,436.69,2,24.68,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,39.4,7.32,462.21,2,21.57,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,41.17,4.13,244.01,2,26.72,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.8,9.2,583.99,2,19.08,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,39.37,8.77,550.63,1,27.47,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,37.95,6.75,436.69,2,24.68,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,39.4,7.32,462.21,2,21.57,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,41.17,4.13,244.01,2,26.72,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,29.97,5.37,326.31,1,21.17,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,32.92,9.05,585.58,0,23.87,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,38.35,10.13,664.51,1,25.18,0,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,30.47,5.37,326.31,1,21.17,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,32.92,9.05,585.58,0,23.87,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,37.55,9.05,585.58,0,28.5,0,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,29.97,5.37,326.31,1,21.17,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,32.92,9.05,585.58,0,23.87,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,38.35,10.13,664.51,1,25.18,1,0
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,30.47,5.37,326.31,1,21.17,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,32.92,9.05,585.58,0,23.87,1,1
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,37.55,9.05,585.58,0,28.5,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,14.92,8.12,540.54,0,6.8,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.08,15.72,1022.13,0,4.37,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.38,15.05,973.77,0,5.33,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.08,15.72,1022.13,0,4.37,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.38,15.05,973.77,0,5.33,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.4,15.05,973.77,0,5.35,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,14.92,8.12,540.54,0,6.8,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.08,15.72,1022.13,0,4.37,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.38,15.05,973.77,0,5.33,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.08,15.72,1022.13,0,4.37,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.38,15.05,973.77,0,5.33,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.4,15.05,973.77,0,5.35,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,27.47,6.38,405.62,2,15.42,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,29.43,8.03,504.13,1,19.15,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,33.53,3.85,237.79,2,18.17,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,28.97,6.38,405.62,2,15.42,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,31.15,9.72,630.15,2,16.65,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.53,3.85,237.79,2,18.17,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,27.47,6.38,405.62,2,15.42,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,29.43,8.03,504.13,1,19.15,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,33.53,3.85,237.79,2,18.17,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,28.97,6.38,405.62,2,15.42,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,31.15,9.72,630.15,2,16.65,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.53,3.85,237.79,2,18.17,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,22.62,3.6,231.68,1,15.77,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.25,10.42,643.02,0,13.83,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,27.15,11.58,771.39,0,15.57,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,23.12,3.6,231.68,1,15.77,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.25,10.42,643.02,0,13.83,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,27.15,11.58,771.39,0,15.57,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,22.62,3.6,231.68,1,15.77,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.25,10.42,643.02,0,13.83,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,27.15,11.58,771.39,0,15.57,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,23.12,3.6,231.68,1,15.77,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.25,10.42,643.02,0,13.83,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,27.15,11.58,771.39,0,15.57,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,32.07,17.72,1192.59,0,14.35,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,32.55,9.73,652.88,1,14.57,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,33.77,18.33,1175.44,1,13.33,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,28.05,9.73,652.88,1,14.57,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,31.47,11.7,771.42,2,15.02,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,32.07,17.72,1192.59,0,14.35,0,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,32.07,17.72,1192.59,0,14.35,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,32.55,9.73,652.88,1,14.57,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,33.77,18.33,1175.44,1,13.33,1,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,28.05,9.73,652.88,1,14.57,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,31.47,11.7,771.42,2,15.02,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,32.07,17.72,1192.59,0,14.35,1,1
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,21.9,7.93,530.02,1,11.78,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,25.67,12.12,796.36,1,11.07,0,0
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,27.32,11.27,754.55,1,13.02,0,0
